year,month,total_revenue,total_orders
2016,10,46566.71,265
2016,12,19.62,1
2017,1,127545.67,750
2017,2,271298.65,1653
2017,3,414369.39,2546
2017,4,390952.18,2303
2017,5,567066.73,3546
2017,6,490225.6,3135
2017,7,566403.93,3872
2017,8,646000.61,4193
2017,9,701169.99,4150
2017,10,751140.27,4478
2017,11,1153528.05,7289
2017,12,843199.17,5513
2018,1,1078606.86,7069
2018,2,966510.88,6555
2018,3,1120678,7003
2018,4,1132933.95,6798
2018,5,1128836.69,6749
2018,6,1012090.68,6099
2018,7,1027903.86,6159
2018,8,985414.28,6351
