state,total_orders,total_revenue
SP,40500,5770266.19
RJ,12350,2055690.45
MG,11354,1819277.61
RS,5345,861802.4
PR,4923,781919.55
SC,3546,595208.4
BA,3256,591270.6
DF,2080,346146.17
GO,1957,334294.22
ES,1995,317682.65
PE,1593,309074.59
CE,1279,266463.97
PA,946,212027.55
MT,886,181441.72
MA,717,147807.29
PB,517,137834.65
MS,701,134421.54
PI,476,105272.17
RN,474,100728.3
AL,397,94195.79
SE,335,70289.13
TO,274,60007.37
RO,243,56975.7
AM,145,27596.18
AC,80,19586.25
AP,67,16141.81
RR,41,9039.52
